2.8,2.46E-07,2.8,2.54E-07,,,,
2.76,1.99E-07,2.76,2.18E-07,,,,
2.72,1.72E-07,2.72,1.86E-07,,,,
2.68,1.42E-07,2.68,1.58E-07,,,,
2.64,1.22E-07,2.64,1.29E-07,,,,
2.6,1.04E-07,2.6,1.14E-07,,,,
2.56,9.01E-08,2.56,9.87E-08,,,,
2.52,7.74E-08,2.52,8.27E-08,,,,
2.48,6.15E-08,2.48,6.65E-08,,,,
2.44,5.22E-08,2.44,5.89E-08,,,,
2.4,4.39E-08,2.4,4.86E-08,,,,
2.36,3.67E-08,2.36,4.13E-08,,,,
2.32,2.96E-08,2.32,3.46E-08,,,,
2.28,2.50E-08,2.28,2.80E-08,,,,
2.24,2.04E-08,2.24,2.18E-08,,,,
2.2,1.72E-08,2.2,1.90E-08,,,,
2.16,1.40E-08,2.16,1.51E-08,,,,
2.12,1.20E-08,2.12,1.27E-08,,,,
2.08,9.86E-09,2.08,1.05E-08,,,,
2.04,8.33E-09,2.04,8.77E-09,,,,
2,6.54E-09,2,7.16E-09,,,,
1.96,5.59E-09,1.96,6.28E-09,,,,
1.92,4.41E-09,1.92,5.33E-09,,,,
1.88,3.56E-09,1.88,4.17E-09,,,,
1.84,3.02E-09,1.84,3.40E-09,,,,
1.8,2.43E-09,1.8,2.97E-09,,,,
1.76,1.93E-09,1.76,2.40E-09,,,,
1.72,1.67E-09,1.72,1.83E-09,,,,
1.68,1.39E-09,1.68,1.57E-09,,,,
1.64,1.09E-09,1.64,1.17E-09,,,,
1.6,9.36E-10,1.6,1.02E-09,,,,
1.56,7.65E-10,1.56,7.80E-10,,,,
1.52,5.93E-10,1.52,6.10E-10,,,,
1.48,4.90E-10,1.48,4.56E-10,,,,
1.44,3.82E-10,1.44,3.39E-10,,,,
1.4,2.94E-10,1.4,2.77E-10,,,,
1.36,2.47E-10,1.36,2.08E-10,,,,
1.32,2.00E-10,1.32,1.42E-10,,,,
1.28,1.37E-10,1.28,1.26E-10,,,,
1.24,1.25E-10,1.24,7.99E-11,,,,
1.2,9.35E-11,1.2,5.96E-11,,,,
1.16,5.64E-11,1.16,5.74E-11,,,,
1.12,6.15E-11,1.12,2.75E-11,,,,
1.08,4.34E-11,1.08,2.76E-11,,,,
1.04,2.21E-11,1.04,2.61E-11,,,,
1,3.28E-11,1,4.02E-12,,,,
0.96,1.52E-11,0.96,1.39E-11,,,,
