-3.0,9.6e-12,-3.0,8.94e-12,-3.0,1.7200000000000001e-12,-3.0,9.81e-12,-3.0,1.98e-12,-3.0,3.92e-12,-3.0,2.9190000000000005e-11,-3.0,5.4000000000000004e-12,-3.0,1.4e-12,-3.0,1.8400000000000002e-12,-3.0,0.0001178,-3.0,1.7600000000000002e-12,-3.0,1.8420000000000003e-11,-3.0,9.23e-12
-3.0,3.3700000000000004e-12,-3.0,7.53e-12,-3.0,7.72e-12,-3.0,1.0600000000000001e-12,-3.0,4.600000000000002e-13,-3.0,7.460000000000001e-12,-3.0,1.8000000000000002e-12,-3.0,3.600000000000001e-13,-3.0,9.33e-12,-3.0,3.28e-12,-3.0,0.00014164,-3.0,2.52e-12,-3.0,1.31e-12,-3.0,3.07e-12
-2.902,2.5800000000000003e-12,-2.902,6.0600000000000004e-12,-2.902,1.001e-11,-2.902,5.780000000000001e-12,-2.902,6.500000000000002e-13,-2.902,4.800000000000001e-12,-2.902,1.211e-11,-2.902,6.940000000000001e-12,-2.902,4.600000000000002e-13,-2.902,9.62e-12,-2.902,0.00013488,-2.902,6.71e-12,-2.902,1.79e-12,-2.902,1.03e-12
-2.902,2.92e-12,-2.902,5.310000000000001e-12,-2.902,7.400000000000002e-13,-2.902,4.84e-12,-2.902,2.16e-12,-2.902,8.36e-12,-2.902,7.148000000000001e-11,-2.902,2.083e-11,-2.902,1.2270000000000002e-11,-2.902,3.9800000000000004e-12,-2.902,0.000113,-2.902,1.6600000000000002e-12,-2.902,4.0630000000000006e-11,-2.902,9.3e-13
-2.8040000000000003,3.0600000000000007e-12,-2.8040000000000003,2.5800000000000003e-12,-2.8040000000000003,1.51e-12,-2.8040000000000003,5e-14,-2.8040000000000003,6.45e-12,-2.8040000000000003,1.5400000000000001e-12,-2.8040000000000003,2.0249e-10,-2.8040000000000003,1.979e-11,-2.8040000000000003,4.1e-13,-2.8040000000000003,5.69e-12,-2.8040000000000003,0.00010706,-2.8040000000000003,3.82e-12,-2.8040000000000003,1.1213e-10,-2.8040000000000003,1.73e-12
-2.8040000000000003,6.71e-12,-2.8040000000000003,2.5500000000000002e-12,-2.8040000000000003,6.19e-12,-2.8040000000000003,6.170000000000001e-12,-2.8040000000000003,5.320000000000001e-12,-2.8040000000000003,3.0800000000000002e-12,-2.8040000000000003,6.540000000000001e-12,-2.8040000000000003,7.01e-12,-2.8040000000000003,4.62e-12,-2.8040000000000003,1.6700000000000004e-12,-2.8040000000000003,0.00012608,-2.8040000000000003,9.76e-12,-2.8040000000000003,7.75e-12,-2.8040000000000003,3.92e-12
-2.7060000000000004,2.2000000000000002e-13,-2.7060000000000004,3e-12,-2.7060000000000004,5.460000000000001e-12,-2.7060000000000004,3.3600000000000002e-12,-2.7060000000000004,4.9e-13,-2.7060000000000004,2.7600000000000004e-12,-2.7060000000000004,4.4831e-10,-2.7060000000000004,3.882e-11,-2.7060000000000004,5e-14,-2.7060000000000004,3.18e-12,-2.7060000000000004,0.00010072,-2.7060000000000004,7.54e-12,-2.7060000000000004,2.3102e-10,-2.7060000000000004,2.29e-12
-2.7060000000000004,3.740000000000001e-12,-2.7060000000000004,1.85e-12,-2.7060000000000004,3.67e-12,-2.7060000000000004,9.66e-12,-2.7060000000000004,2.0200000000000007e-12,-2.7060000000000004,6.930000000000001e-12,-2.7060000000000004,5.680000000000001e-12,-2.7060000000000004,4.4000000000000004e-13,-2.7060000000000004,7.75e-12,-2.7060000000000004,5.220000000000001e-12,-2.7060000000000004,0.00012066,-2.7060000000000004,6.1e-12,-2.7060000000000004,1.07e-11,-2.7060000000000004,9.000000000000001e-13
-2.6077500000000002,2.41e-12,-2.6080000000000005,1.9400000000000002e-12,-2.6080000000000005,1.96e-12,-2.6080000000000005,2.4000000000000007e-12,-2.6077500000000002,1.4e-13,-2.6077500000000002,3.92e-12,-2.6077500000000002,1.438e-11,-2.6077500000000002,8.55e-12,-2.6077500000000002,7e-13,-2.6077500000000002,6.340000000000001e-12,-2.6080000000000005,0.00011518,-2.6080000000000005,2.06e-12,-2.6080000000000005,1.05e-11,-2.6080000000000005,3.8800000000000004e-12
-2.6077500000000002,6.97e-12,-2.6080000000000005,3.58e-12,-2.6080000000000005,1.073e-11,-2.6080000000000005,1.9400000000000002e-12,-2.6077500000000002,3.66e-12,-2.6077500000000002,4.490000000000001e-12,-2.6077500000000002,6.9843e-10,-2.6077500000000002,7.789e-11,-2.6077500000000002,5.710000000000001e-12,-2.6077500000000002,5.13e-12,-2.6080000000000005,9.4816e-05,-2.6080000000000005,1.2070000000000002e-11,-2.6080000000000005,4.589e-10,-2.6080000000000005,2.95e-12
-2.5097500000000004,1.21e-12,-2.51,1.93e-12,-2.51,1.4200000000000002e-12,-2.51,2.7e-13,-2.5097500000000004,7.040000000000001e-12,-2.5097500000000004,3.5700000000000007e-12,-2.5097500000000004,6.320000000000001e-12,-2.5097500000000004,6.670000000000001e-12,-2.5097500000000004,8.75e-12,-2.5097500000000004,1.1500000000000001e-12,-2.51,0.000110072,-2.51,1e-12,-2.51,5.220000000000001e-12,-2.51,8.85e-12
