1.88,2.8e-08,1.88,6.8e-08,1.88,5.3033876544463213e-08
1.92,3.23e-08,1.92,7.74e-08,1.92,6.084054601254529e-08
1.96,3.73e-08,1.96,8.23e-08,1.96,6.60896463395622e-08
2.0,4.15e-08,2.0,9.29e-08,2.0,7.478749478147273e-08
2.04,4.86e-08,2.04,1.02e-07,2.04,8.354733071169734e-08
2.08,5.51e-08,2.08,1.11e-07,2.08,9.212297395977521e-08
2.12,6.48e-08,2.12,1.23e-07,2.12,1.0370747303052611e-07
2.16,7.23e-08,2.16,1.34e-07,2.16,1.1406484532320583e-07
2.2,8.47e-08,2.2,1.42e-07,2.2,1.2395815293594298e-07
2.24,9.1e-08,2.24,1.57e-07,2.24,1.3666351697241603e-07
2.28,1.03e-07,2.28,1.72e-07,2.28,1.5122794489553415e-07
2.32,1.19e-07,2.32,1.87e-07,2.32,1.670609569640388e-07
2.36,1.3e-07,2.36,1.96e-07,2.36,1.771918624933988e-07
2.4,1.56e-07,2.4,2.11e-07,2.4,1.9578735283057217e-07
2.44,1.73e-07,2.44,2.36e-07,2.44,2.189978101968723e-07
2.48,1.87e-07,2.48,2.43e-07,2.48,2.284052532792295e-07
2.52,2.13e-07,2.52,2.54e-07,2.52,2.436589370206476e-07
2.56,2.38e-07,2.56,2.83e-07,2.56,2.719405155829369e-07
2.6,2.52e-07,2.6,2.99e-07,2.6,2.8783634154665307e-07
2.64,2.75e-07,2.64,3.16e-07,2.64,3.0658083903823465e-07
2.68,3.07e-07,2.68,3.41e-07,2.68,3.3345604358045677e-07
2.72,3.43e-07,2.72,3.63e-07,2.72,3.5879894776079515e-07
2.76,3.72e-07,2.76,3.85e-07,2.76,3.8233422163036067e-07
2.8,4.06e-07,2.8,4.13e-07,2.8,4.1167763915062427e-07
2.84,4.47e-07,2.84,4.51e-07,2.84,4.5031011271064396e-07
2.88,4.77e-07,2.88,4.77e-07,2.88,4.770812402023051e-07
2.92,5.45e-07,2.92,5.11e-07,2.92,5.169171071942639e-07
2.96,5.85e-07,2.96,5.29e-07,2.96,5.382590096488062e-07
3.0,6.04e-07,3.0,5.63e-07,3.0,5.694495140695568e-07
3.0,5.94e-07,3.0,5.51e-07,3.0,5.574027654551605e-07
2.96,4.89e-07,2.96,4.56e-07,2.96,4.606813472586811e-07
2.92,4.17e-07,2.92,3.92e-07,2.92,3.953305612006172e-07
2.88,3.48e-07,2.88,3.33e-07,2.88,3.3492249953512375e-07
2.84,3.03e-07,2.84,2.89e-07,2.84,2.906613887627506e-07
2.8,2.46e-07,2.8,2.54e-07,2.8,2.531968507168892e-07
2.76,1.99e-07,2.76,2.18e-07,2.76,2.1622674962043473e-07
2.72,1.72e-07,2.72,1.86e-07,2.72,1.847915710383011e-07
